Time	Node	Type	Packets	
4	Tribeca	CacheMisses	10000
4	SanJose	CacheHits	0
4	SanJose	CacheMisses	0
4	Ashburn	CacheHits	0
4	Ashburn	CacheMisses	10000
4	NewYork	CacheHits	0
4	NewYork	CacheMisses	0
5	London	CacheHits	0
5	London	CacheMisses	10000
5	China	CacheHits	0
5	China	CacheMisses	0
5	Taipei	CacheHits	0
5	Taipei	CacheMisses	0
5	HongKong	CacheHits	0
5	HongKong	CacheMisses	0
5	Seoul	CacheHits	0
5	Seoul	CacheMisses	10000
5	Nagoya	CacheHits	0
5	Nagoya	CacheMisses	10000
5	Osaka	CacheHits	0
5	Osaka	CacheMisses	10000
5	Tokyo	CacheHits	0
5	Tokyo	CacheMisses	10000
5	Chennai	CacheHits	0
5	Chennai	CacheMisses	10000
5	Bangkok	CacheHits	0
5	Bangkok	CacheMisses	10000
5	KL	CacheHits	0
5	KL	CacheMisses	10000
5	Singapore	CacheHits	10000
5	Singapore	CacheMisses	10000
5	Jakarta	CacheHits	0
5	Jakarta	CacheMisses	0
5	Manila	CacheHits	0
5	Manila	CacheMisses	10000
5	Sydney	CacheHits	0
5	Sydney	CacheMisses	10000
5	Brisbane	CacheHits	0
5	Brisbane	CacheMisses	10000
5	Adelaide	CacheHits	0
5	Adelaide	CacheMisses	10000
5	Melbourne	CacheHits	0
5	Melbourne	CacheMisses	10000
5	Perth	CacheHits	0
5	Perth	CacheMisses	10000
5	Auckland	CacheHits	0
5	Auckland	CacheMisses	10000
5	SantaClara	CacheHits	0
5	SantaClara	CacheMisses	0
5	LA	CacheHits	20000
5	LA	CacheMisses	10000
5	Tribeca	CacheHits	0
5	Tribeca	CacheMisses	10000
5	SanJose	CacheHits	0
5	SanJose	CacheMisses	0
5	Ashburn	CacheHits	0
5	Ashburn	CacheMisses	10000
5	NewYork	CacheHits	0
5	NewYork	CacheMisses	0
6	London	CacheHits	0
6	London	CacheMisses	10000
6	China	CacheHits	0
6	China	CacheMisses	0
6	Taipei	CacheHits	0
6	Taipei	CacheMisses	0
6	HongKong	CacheHits	0
6	HongKong	CacheMisses	0
6	Seoul	CacheHits	0
6	Seoul	CacheMisses	10000
6	Nagoya	CacheHits	0
6	Nagoya	CacheMisses	10000
6	Osaka	CacheHits	0
6	Osaka	CacheMisses	10000
6	Tokyo	CacheHits	0
6	Tokyo	CacheMisses	10000
6	Chennai	CacheHits	0
6	Chennai	CacheMisses	10000
6	Bangkok	CacheHits	0
6	Bangkok	CacheMisses	10000
6	KL	CacheHits	0
6	KL	CacheMisses	10000
6	Singapore	CacheHits	10000
6	Singapore	CacheMisses	10000
6	Jakarta	CacheHits	0
6	Jakarta	CacheMisses	0
6	Manila	CacheHits	0
6	Manila	CacheMisses	10000
6	Sydney	CacheHits	0
6	Sydney	CacheMisses	10000
6	Brisbane	CacheHits	0
6	Brisbane	CacheMisses	10000
6	Adelaide	CacheHits	0
6	Adelaide	CacheMisses	10000
6	Melbourne	CacheHits	0
6	Melbourne	CacheMisses	10000
6	Perth	CacheHits	0
6	Perth	CacheMisses	10000
6	Auckland	CacheHits	0
6	Auckland	CacheMisses	10000
6	SantaClara	CacheHits	0
6	SantaClara	CacheMisses	0
6	LA	CacheHits	20000
6	LA	CacheMisses	10000
6	Tribeca	CacheHits	0
6	Tribeca	CacheMisses	10000
6	SanJose	CacheHits	0
6	SanJose	CacheMisses	0
6	Ashburn	CacheHits	0
6	Ashburn	CacheMisses	10000
6	NewYork	CacheHits	0
6	NewYork	CacheMisses	0
7	London	CacheHits	0
7	London	CacheMisses	10000
7	China	CacheHits	0
7	China	CacheMisses	0
7	Taipei	CacheHits	0
7	Taipei	CacheMisses	0
7	HongKong	CacheHits	0
7	HongKong	CacheMisses	0
7	Seoul	CacheHits	0
7	Seoul	CacheMisses	10000
7	Nagoya	CacheHits	0
7	Nagoya	CacheMisses	10000
7	Osaka	CacheHits	0
7	Osaka	CacheMisses	10000
7	Tokyo	CacheHits	0
7	Tokyo	CacheMisses	10000
7	Chennai	CacheHits	0
7	Chennai	CacheMisses	10000
7	Bangkok	CacheHits	0
7	Bangkok	CacheMisses	10000
7	KL	CacheHits	0
7	KL	CacheMisses	10000
7	Singapore	CacheHits	10000
7	Singapore	CacheMisses	10000
7	Jakarta	CacheHits	0
7	Jakarta	CacheMisses	0
7	Manila	CacheHits	0
7	Manila	CacheMisses	10000
7	Sydney	CacheHits	0
7	Sydney	CacheMisses	10000
7	Brisbane	CacheHits	0
7	Brisbane	CacheMisses	10000
7	Adelaide	CacheHits	0
7	Adelaide	CacheMisses	10000
7	Melbourne	CacheHits	0
7	Melbourne	CacheMisses	10000
7	Perth	CacheHits	0
7	Perth	CacheMisses	10000
7	Auckland	CacheHits	0
7	Auckland	CacheMisses	10000
7	SantaClara	CacheHits	0
7	SantaClara	CacheMisses	0
7	LA	CacheHits	20000
7	LA	CacheMisses	10000
7	Tribeca	CacheHits	0
7	Tribeca	CacheMisses	10000
7	SanJose	CacheHits	0
7	SanJose	CacheMisses	0
7	Ashburn	CacheHits	0
7	Ashburn	CacheMisses	10000
7	NewYork	CacheHits	0
7	NewYork	CacheMisses	0
8	London	CacheHits	0
8	London	CacheMisses	10000
8	China	CacheHits	0
8	China	CacheMisses	0
8	Taipei	CacheHits	0
8	Taipei	CacheMisses	0
8	HongKong	CacheHits	0
8	HongKong	CacheMisses	0
8	Seoul	CacheHits	0
8	Seoul	CacheMisses	10000
8	Nagoya	CacheHits	0
8	Nagoya	CacheMisses	10000
8	Osaka	CacheHits	0
8	Osaka	CacheMisses	10000
8	Tokyo	CacheHits	0
8	Tokyo	CacheMisses	10000
8	Chennai	CacheHits	0
8	Chennai	CacheMisses	10000
8	Bangkok	CacheHits	0
8	Bangkok	CacheMisses	10000
8	KL	CacheHits	0
8	KL	CacheMisses	10000
8	Singapore	CacheHits	10000
8	Singapore	CacheMisses	10000
8	Jakarta	CacheHits	0
8	Jakarta	CacheMisses	0
8	Manila	CacheHits	0
8	Manila	CacheMisses	10000
8	Sydney	CacheHits	0
8	Sydney	CacheMisses	10000
8	Brisbane	CacheHits	0
8	Brisbane	CacheMisses	10000
8	Adelaide	CacheHits	0
8	Adelaide	CacheMisses	10000
8	Melbourne	CacheHits	0
8	Melbourne	CacheMisses	10000
8	Perth	CacheHits	0
8	Perth	CacheMisses	10000
8	Auckland	CacheHits	0
8	Auckland	CacheMisses	10000
8	SantaClara	CacheHits	0
8	SantaClara	CacheMisses	0
8	LA	CacheHits	20001
8	LA	CacheMisses	10000
8	Tribeca	CacheHits	0
8	Tribeca	CacheMisses	10000
8	SanJose	CacheHits	0
8	SanJose	CacheMisses	0
8	Ashburn	CacheHits	0
8	Ashburn	CacheMisses	10000
8	NewYork	CacheHits	0
8	NewYork	CacheMisses	0
9	London	CacheHits	0
