Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
5.41729	Bangkok	0	1452	FullDelay	2.56629	2.56629e+06	2	3
5.41769	Auckland	0	1010	LastDelay	0.422687	422687	1	4
5.41769	Auckland	0	1010	FullDelay	3.16169	3.16169e+06	3	4
5.41823	Perth	0	1010	LastDelay	0.414226	414226	1	4
5.41823	Perth	0	1010	FullDelay	3.16323	3.16323e+06	3	4
5.42041	Melbourne	0	142	LastDelay	1.03541	1.03541e+06	1	4
5.42041	Melbourne	0	142	FullDelay	5.27841	5.27841e+06	6	4
5.4209	Seoul	0	1690	LastDelay	1.2749	1.2749e+06	1	2
5.4209	Seoul	0	1690	FullDelay	1.2749	1.2749e+06	1	2
5.42325	Ashburn	0	1418	LastDelay	0.124251	124251	1	1
5.42325	Ashburn	0	1418	FullDelay	0.124251	124251	1	1
5.4235	KL	0	1164	LastDelay	0.0984967	98496.7	1	1
5.4235	KL	0	1164	FullDelay	1.4845	1.4845e+06	2	1
5.42612	Sydney	0	1038	LastDelay	0.256124	256124	1	3
5.42612	Sydney	0	1038	FullDelay	2.63212	2.63212e+06	3	3
5.4263	Auckland	0	142	LastDelay	1.0413	1.0413e+06	1	4
5.4263	Auckland	0	142	FullDelay	5.2843	5.2843e+06	6	4
5.42684	Perth	0	142	LastDelay	1.04184	1.04184e+06	1	4
5.42684	Perth	0	142	FullDelay	5.28484	5.28484e+06	6	4
5.42758	Chennai	0	1014	LastDelay	0.218581	218581	1	1
5.42758	Chennai	0	1014	FullDelay	2.51358	2.51358e+06	3	1
5.42942	Osaka	0	896	LastDelay	0.630417	630417	1	2
5.42942	Osaka	0	896	FullDelay	3.97242	3.97242e+06	4	2
5.43	Nagoya	0	876	LastDelay	0.0669987	66998.7	1	3
5.43	Nagoya	0	876	FullDelay	4.009	4.009e+06	4	3
5.4311	Manila	0	841	LastDelay	1.7761	1.7761e+06	1	2
5.4311	Manila	0	841	FullDelay	3.9531	3.9531e+06	2	2
5.4317	Brisbane	0	2514	LastDelay	0.960702	960702	1	2
5.4317	Brisbane	0	2514	FullDelay	0.960702	960702	1	2
5.43187	Ashburn	0	44	LastDelay	0.123867	123867	1	1
5.43187	Ashburn	0	44	FullDelay	5.38787	5.38787e+06	11	1
5.43212	KL	0	1173	LastDelay	0.0991207	99120.7	1	1
5.43212	KL	0	1173	FullDelay	1.48412	1.48412e+06	2	1
5.43286	Adelaide	0	1478	LastDelay	0.388863	388863	1	4
5.43286	Adelaide	0	1478	FullDelay	2.59286	2.59286e+06	2	4
5.43357	Tokyo	0	1716	LastDelay	1.25957	1.25957e+06	1	1
5.43357	Tokyo	0	1716	FullDelay	1.25957	1.25957e+06	1	1
5.43475	Sydney	0	1690	LastDelay	1.18575	1.18575e+06	1	3
5.43475	Sydney	0	1690	FullDelay	1.18575	1.18575e+06	1	3
5.43766	Melbourne	0	1038	LastDelay	0.413657	413657	1	4
5.43766	Melbourne	0	1038	FullDelay	3.10666	3.10666e+06	3	4
5.44048	Ashburn	0	69	LastDelay	0.124483	124483	1	1
5.44048	Ashburn	0	69	FullDelay	5.37148	5.37148e+06	11	1
5.44074	KL	0	1183	LastDelay	0.0987447	98744.7	1	1
5.44074	KL	0	1183	FullDelay	0.863745	863745	2	1
5.44223	Tokyo	0	1370	LastDelay	0.0242332	24233.2	1	1
