Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
0.112495	Osaka	0	2	LastDelay	0.110495	110495	1	2
0.112495	Osaka	0	2	FullDelay	0.110495	110495	1	2
0.113036	Sydney	0	2	LastDelay	0.111036	111036	1	3
0.113036	Sydney	0	2	FullDelay	0.111036	111036	1	3
0.113077	Nagoya	0	1	LastDelay	0.112077	112077	1	3
0.113077	Nagoya	0	1	FullDelay	0.112077	112077	1	3
0.115945	Melbourne	0	1	LastDelay	0.114945	114945	1	4
0.115945	Melbourne	0	1	FullDelay	0.114945	114945	1	4
0.116427	Seoul	0	4	LastDelay	0.112427	112427	1	2
0.116427	Seoul	0	4	FullDelay	0.112427	112427	1	2
0.116844	Ashburn	0	10	LastDelay	0.106844	106844	1	1
0.116844	Ashburn	0	10	FullDelay	0.106844	106844	1	1
0.117249	KL	0	19	LastDelay	0.0982491	98249.1	1	1
0.117249	KL	0	19	FullDelay	0.0982491	98249.1	1	1
0.118526	Brisbane	0	4	LastDelay	0.114526	114526	1	2
0.118526	Brisbane	0	4	FullDelay	0.114526	114526	1	2
0.119128	Chennai	0	5	LastDelay	0.114128	114128	1	1
0.119128	Chennai	0	5	FullDelay	0.114128	114128	1	1
0.120426	Tokyo	0	6	LastDelay	0.114426	114426	1	1
0.120426	Tokyo	0	6	FullDelay	0.114426	114426	1	1
0.121652	Sydney	0	3	LastDelay	0.118652	118652	1	3
0.121652	Sydney	0	3	FullDelay	0.118652	118652	1	3
0.12184	Auckland	0	1	LastDelay	0.12084	120840	1	4
0.12184	Auckland	0	1	FullDelay	0.12084	120840	1	4
0.122382	Perth	0	1	LastDelay	0.121382	121382	1	4
0.122382	Perth	0	1	FullDelay	0.121382	121382	1	4
0.124449	Manila	0	2	LastDelay	0.122449	122449	1	2
0.124449	Manila	0	2	FullDelay	0.122449	122449	1	2
0.124561	Melbourne	0	2	LastDelay	0.122561	122561	1	4
0.124561	Melbourne	0	2	FullDelay	0.122561	122561	1	4
0.125043	Seoul	0	5	LastDelay	0.120043	120043	1	2
0.125043	Seoul	0	5	FullDelay	0.120043	120043	1	2
0.12546	Ashburn	0	11	LastDelay	0.11446	114460	1	1
0.12546	Ashburn	0	11	FullDelay	0.11446	114460	1	1
0.125865	KL	0	27	LastDelay	0.0988651	98865.1	1	1
0.125865	KL	0	27	FullDelay	0.0988651	98865.1	1	1
0.126051	Adelaide	0	1	LastDelay	0.125051	125051	1	4
0.126051	Adelaide	0	1	FullDelay	0.125051	125051	1	4
0.127142	Brisbane	0	5	LastDelay	0.122142	122142	1	2
0.127142	Brisbane	0	5	FullDelay	0.122142	122142	1	2
0.127601	Bangkok	0	1	LastDelay	0.126601	126601	1	3
0.127601	Bangkok	0	1	FullDelay	0.126601	126601	1	3
0.129042	Tokyo	0	7	LastDelay	0.122042	122042	1	1
0.129042	Tokyo	0	7	FullDelay	0.122042	122042	1	1
0.129324	Osaka	0	3	LastDelay	0.126324	126324	1	2
0.129324	Osaka	0	3	FullDelay	0.126324	126324	1	2
0.129905	Nagoya	0	2	LastDelay	0.127905	127905	1	3
0.129905	Nagoya	0	2	FullDelay	0.127905	127905	1	3
0.130268	Sydney	0	4	LastDelay	0.126268	126268	1	3
0.130268	Sydney	0	4	FullDelay	0.126268	126268	1	3
0.130456	Auckland	0	2	LastDelay	0.128456	128456	1	4
0.130456	Auckland	0	2	FullDelay	0.128456	128456	1	4
0.130998	Perth	0	2	LastDelay	0.128998	128998	1	4
0.130998	Perth	0	2	FullDelay	0.128998	128998	1	4
0.133177	Melbourne	0	3	LastDelay	0.130177	130177	1	4
0.133177	Melbourne	0	3	FullDelay	0.130177	130177	1	4
0.133659	Seoul	0	6	LastDelay	0.127659	127659	1	2
0.133659	Seoul	0	6	FullDelay	0.127659	127659	1	2
0.134076	Ashburn	0	12	LastDelay	0.122076	122076	1	1
0.134076	Ashburn	0	12	FullDelay	0.122076	122076	1	1
0.134481	KL	0	36	LastDelay	0.0984811	98481.1	1	1
0.134481	KL	0	36	FullDelay	0.0984811	98481.1	1	1
0.135758	Brisbane	0	6	LastDelay	0.129758	129758	1	2
0.135758	Brisbane	0	6	FullDelay	0.129758	129758	1	2
0.135956	Chennai	0	6	LastDelay	0.129956	129956	1	1
0.135956	Chennai	0	6	FullDelay	0.129956	129956	1	1
0.137658	Tokyo	0	8	LastDelay	0.129658	129658	1	1
0.137658	Tokyo	0	8	FullDelay	0.129658	129658	1	1
0.138884	Sydney	0	5	LastDelay	0.133884	133884	1	3
0.138884	Sydney	0	5	FullDelay	0.133884	133884	1	3
0.139072	Auckland	0	3	LastDelay	0.136072	136072	1	4
0.139072	Auckland	0	3	FullDelay	0.136072	136072	1	4
0.139614	Perth	0	3	LastDelay	0.136614	136614	1	4
0.139614	Perth	0	3	FullDelay	0.136614	136614	1	4
0.141277	Manila	0	3	LastDelay	0.138277	138277	1	2
0.141277	Manila	0	3	FullDelay	0.138277	138277	1	2
0.141793	Melbourne	0	4	LastDelay	0.137793	137793	1	4
0.141793	Melbourne	0	4	FullDelay	0.137793	137793	1	4
0.142275	Seoul	0	7	LastDelay	0.135275	135275	1	2
0.142275	Seoul	0	7	FullDelay	0.135275	135275	1	2
0.142692	Ashburn	0	19	LastDelay	0.123692	123692	1	1
0.142692	Ashburn	0	19	FullDelay	0.123692	123692	1	1
0.142879	Adelaide	0	2	LastDelay	0.140879	140879	1	4
0.142879	Adelaide	0	2	FullDelay	0.140879	140879	1	4
0.143097	KL	0	45	LastDelay	0.0980971	98097.1	1	1
0.143097	KL	0	45	FullDelay	0.0980971	98097.1	1	1
0.144374	Brisbane	0	7	LastDelay	0.137374	137374	1	2
0.144374	Brisbane	0	7	FullDelay	0.137374	137374	1	2
0.144429	Bangkok	0	2	LastDelay	0.142429	142429	1	3
0.144429	Bangkok	0	2	FullDelay	0.142429	142429	1	3
0.146152	Osaka	0	4	LastDelay	0.142152	142152	1	2
0.146152	Osaka	0	4	FullDelay	0.142152	142152	1	2
0.146314	Tokyo	0	9	LastDelay	0.137314	137314	1	1
0.146314	Tokyo	0	9	FullDelay	0.137314	137314	1	1
0.146733	Nagoya	0	3	LastDelay	0.143733	143733	1	3
0.146733	Nagoya	0	3	FullDelay	0.143733	143733	1	3
0.1475	Sydney	0	6	LastDelay	0.1415	141500	1	3
0.1475	Sydney	0	6	FullDelay	0.1415	141500	1	3
0.147688	Auckland	0	4	LastDelay	0.143688	143688	1	4
0.147688	Auckland	0	4	FullDelay	0.143688	143688	1	4
0.14823	Perth	0	4	LastDelay	0.14423	144230	1	4
0.14823	Perth	0	4	FullDelay	0.14423	144230	1	4
0.150409	Melbourne	0	5	LastDelay	0.145409	145409	1	4
0.150409	Melbourne	0	5	FullDelay	0.145409	145409	1	4
0.150891	Seoul	0	8	LastDelay	0.142891	142891	1	2
0.150891	Seoul	0	8	FullDelay	0.142891	142891	1	2
0.151308	Ashburn	0	27	LastDelay	0.124308	124308	1	1
0.151308	Ashburn	0	27	FullDelay	0.124308	124308	1	1
0.151713	KL	0	53	LastDelay	0.0987131	98713.1	1	1
0.151713	KL	0	53	FullDelay	0.0987131	98713.1	1	1
0.152784	Chennai	0	7	LastDelay	0.145784	145784	1	1
0.152784	Chennai	0	7	FullDelay	0.145784	145784	1	1
0.15299	Brisbane	0	8	LastDelay	0.14499	144990	1	2
0.15299	Brisbane	0	8	FullDelay	0.14499	144990	1	2
0.15493	Tokyo	0	10	LastDelay	0.14493	144930	1	1
0.15493	Tokyo	0	10	FullDelay	0.14493	144930	1	1
0.156116	Sydney	0	7	LastDelay	0.149116	149116	1	3
0.156116	Sydney	0	7	FullDelay	0.149116	149116	1	3
0.156304	Auckland	0	5	LastDelay	0.151304	151304	1	4
0.156304	Auckland	0	5	FullDelay	0.151304	151304	1	4
0.156846	Perth	0	5	LastDelay	0.151846	151846	1	4
0.156846	Perth	0	5	FullDelay	0.151846	151846	1	4
0.158105	Manila	0	4	LastDelay	0.154105	154105	1	2
0.158105	Manila	0	4	FullDelay	0.154105	154105	1	2
0.159025	Melbourne	0	6	LastDelay	0.153025	153025	1	4
0.159025	Melbourne	0	6	FullDelay	0.153025	153025	1	4
0.159587	Seoul	0	9	LastDelay	0.150587	150587	1	2
0.159587	Seoul	0	9	FullDelay	0.150587	150587	1	2
0.159707	Adelaide	0	3	LastDelay	0.156707	156707	1	4
0.159707	Adelaide	0	3	FullDelay	0.156707	156707	1	4
0.159924	Ashburn	0	36	LastDelay	0.123924	123924	1	1
0.159924	Ashburn	0	36	FullDelay	0.123924	123924	1	1
0.160329	KL	0	62	LastDelay	0.0983291	98329.1	1	1
0.160329	KL	0	62	FullDelay	0.0983291	98329.1	1	1
0.161257	Bangkok	0	3	LastDelay	0.158257	158257	1	3
0.161257	Bangkok	0	3	FullDelay	0.158257	158257	1	3
0.161686	Brisbane	0	9	LastDelay	0.152686	152686	1	2
0.161686	Brisbane	0	9	FullDelay	0.152686	152686	1	2
0.16298	Osaka	0	5	LastDelay	0.15798	157980	1	2
0.16298	Osaka	0	5	FullDelay	0.15798	157980	1	2
0.163546	Tokyo	0	11	LastDelay	0.152546	152546	1	1
0.163546	Tokyo	0	11	FullDelay	0.152546	152546	1	1
0.163561	Nagoya	0	4	LastDelay	0.159561	159561	1	3
0.163561	Nagoya	0	4	FullDelay	0.159561	159561	1	3
0.164732	Sydney	0	8	LastDelay	0.156732	156732	1	3
0.164732	Sydney	0	8	FullDelay	0.156732	156732	1	3
0.16492	Auckland	0	6	LastDelay	0.15892	158920	1	4
0.16492	Auckland	0	6	FullDelay	0.15892	158920	1	4
0.165462	Perth	0	6	LastDelay	0.159462	159462	1	4
0.165462	Perth	0	6	FullDelay	0.159462	159462	1	4
0.167641	Melbourne	0	7	LastDelay	0.160641	160641	1	4
0.167641	Melbourne	0	7	FullDelay	0.160641	160641	1	4
0.168203	Seoul	0	10	LastDelay	0.158203	158203	1	2
