Time	Node	Type	Packets	
4	London	CacheMisses	1000
4	China	CacheHits	0
4	China	CacheMisses	0
4	Taipei	CacheHits	0
4	Taipei	CacheMisses	0
4	HongKong	CacheHits	0
4	HongKong	CacheMisses	0
4	Seoul	CacheHits	0
4	Seoul	CacheMisses	120
4	Nagoya	CacheHits	0
4	Nagoya	CacheMisses	781
4	Osaka	CacheHits	8
4	Osaka	CacheMisses	539
4	Tokyo	CacheHits	272
4	Tokyo	CacheMisses	570
4	Chennai	CacheHits	0
4	Chennai	CacheMisses	100
4	Bangkok	CacheHits	0
4	Bangkok	CacheMisses	1000
4	KL	CacheHits	0
4	KL	CacheMisses	245
4	Singapore	CacheHits	1859
4	Singapore	CacheMisses	117
4	Jakarta	CacheHits	0
4	Jakarta	CacheMisses	0
4	Manila	CacheHits	9
4	Manila	CacheMisses	727
4	Sydney	CacheHits	188
4	Sydney	CacheMisses	224
4	Brisbane	CacheHits	3
4	Brisbane	CacheMisses	165
4	Adelaide	CacheHits	0
4	Adelaide	CacheMisses	246
4	Melbourne	CacheHits	0
4	Melbourne	CacheMisses	360
4	Perth	CacheHits	0
4	Perth	CacheMisses	89
4	Auckland	CacheHits	0
4	Auckland	CacheMisses	140
4	SantaClara	CacheHits	0
4	SantaClara	CacheMisses	0
4	LA	CacheHits	2814
4	LA	CacheMisses	741
4	Tribeca	CacheHits	0
4	Tribeca	CacheMisses	1000
4	SanJose	CacheHits	0
4	SanJose	CacheMisses	0
4	Ashburn	CacheHits	0
4	Ashburn	CacheMisses	131
4	NewYork	CacheHits	0
4	NewYork	CacheMisses	0
5	London	CacheHits	0
5	London	CacheMisses	1000
5	China	CacheHits	0
5	China	CacheMisses	0
5	Taipei	CacheHits	0
5	Taipei	CacheMisses	0
5	HongKong	CacheHits	0
5	HongKong	CacheMisses	0
5	Seoul	CacheHits	0
5	Seoul	CacheMisses	41
5	Nagoya	CacheHits	0
5	Nagoya	CacheMisses	1000
5	Osaka	CacheHits	6
5	Osaka	CacheMisses	1181
5	Tokyo	CacheHits	268
5	Tokyo	CacheMisses	855
5	Chennai	CacheHits	0
5	Chennai	CacheMisses	266
5	Bangkok	CacheHits	0
5	Bangkok	CacheMisses	1000
5	KL	CacheHits	0
5	KL	CacheMisses	131
5	Singapore	CacheHits	1721
5	Singapore	CacheMisses	266
5	Jakarta	CacheHits	0
5	Jakarta	CacheMisses	0
5	Manila	CacheHits	15
5	Manila	CacheMisses	918
5	Sydney	CacheHits	59
5	Sydney	CacheMisses	827
5	Brisbane	CacheHits	14
5	Brisbane	CacheMisses	766
5	Adelaide	CacheHits	0
5	Adelaide	CacheMisses	1000
5	Melbourne	CacheHits	0
5	Melbourne	CacheMisses	238
5	Perth	CacheHits	0
5	Perth	CacheMisses	155
5	Auckland	CacheHits	0
5	Auckland	CacheMisses	90
5	SantaClara	CacheHits	0
5	SantaClara	CacheMisses	0
5	LA	CacheHits	2105
5	LA	CacheMisses	1450
5	Tribeca	CacheHits	0
5	Tribeca	CacheMisses	1000
5	SanJose	CacheHits	0
5	SanJose	CacheMisses	0
5	Ashburn	CacheHits	0
5	Ashburn	CacheMisses	137
5	NewYork	CacheHits	0
5	NewYork	CacheMisses	0
6	London	CacheHits	0
6	London	CacheMisses	1000
6	China	CacheHits	0
6	China	CacheMisses	0
6	Taipei	CacheHits	0
6	Taipei	CacheMisses	0
6	HongKong	CacheHits	0
6	HongKong	CacheMisses	0
6	Seoul	CacheHits	0
6	Seoul	CacheMisses	59
6	Nagoya	CacheHits	0
6	Nagoya	CacheMisses	1000
6	Osaka	CacheHits	41
6	Osaka	CacheMisses	128
6	Tokyo	CacheHits	430
6	Tokyo	CacheMisses	347
6	Chennai	CacheHits	0
6	Chennai	CacheMisses	227
6	Bangkok	CacheHits	0
6	Bangkok	CacheMisses	1000
6	KL	CacheHits	0
6	KL	CacheMisses	137
6	Singapore	CacheHits	1773
6	Singapore	CacheMisses	227
6	Jakarta	CacheHits	0
6	Jakarta	CacheMisses	0
6	Manila	CacheHits	17
6	Manila	CacheMisses	869
6	Sydney	CacheHits	236
6	Sydney	CacheMisses	0
6	Brisbane	CacheHits	14
6	Brisbane	CacheMisses	51
6	Adelaide	CacheHits	0
6	Adelaide	CacheMisses	902
6	Melbourne	CacheHits	0
6	Melbourne	CacheMisses	407
6	Perth	CacheHits	0
6	Perth	CacheMisses	89
