Time	Node	Type	Packets	
4	Ashburn	CacheMisses	131
4	NewYork	CacheHits	0
4	NewYork	CacheMisses	0
5	London	CacheHits	0
5	London	CacheMisses	1000
5	China	CacheHits	0
5	China	CacheMisses	0
5	Taipei	CacheHits	0
5	Taipei	CacheMisses	0
5	HongKong	CacheHits	0
5	HongKong	CacheMisses	0
5	Seoul	CacheHits	0
5	Seoul	CacheMisses	450
5	Nagoya	CacheHits	0
5	Nagoya	CacheMisses	700
5	Osaka	CacheHits	0
5	Osaka	CacheMisses	651
5	Tokyo	CacheHits	1
5	Tokyo	CacheMisses	546
5	Chennai	CacheHits	0
5	Chennai	CacheMisses	266
5	Bangkok	CacheHits	0
5	Bangkok	CacheMisses	501
5	KL	CacheHits	0
5	KL	CacheMisses	131
5	Singapore	CacheHits	0
5	Singapore	CacheMisses	1987
5	Jakarta	CacheHits	0
5	Jakarta	CacheMisses	0
5	Manila	CacheHits	4
5	Manila	CacheMisses	650
5	Sydney	CacheHits	6
5	Sydney	CacheMisses	430
5	Brisbane	CacheHits	0
5	Brisbane	CacheMisses	556
5	Adelaide	CacheHits	0
5	Adelaide	CacheMisses	686
5	Melbourne	CacheHits	0
5	Melbourne	CacheMisses	251
5	Perth	CacheHits	0
5	Perth	CacheMisses	260
5	Auckland	CacheHits	0
5	Auckland	CacheMisses	250
5	SantaClara	CacheHits	0
5	SantaClara	CacheMisses	0
5	LA	CacheHits	4
5	LA	CacheMisses	3551
5	Tribeca	CacheHits	0
5	Tribeca	CacheMisses	1000
5	SanJose	CacheHits	0
5	SanJose	CacheMisses	0
5	Ashburn	CacheHits	0
5	Ashburn	CacheMisses	137
5	NewYork	CacheHits	0
5	NewYork	CacheMisses	0
6	London	CacheHits	0
6	London	CacheMisses	1000
6	China	CacheHits	0
6	China	CacheMisses	0
6	Taipei	CacheHits	0
6	Taipei	CacheMisses	0
6	HongKong	CacheHits	0
6	HongKong	CacheMisses	0
6	Seoul	CacheHits	0
6	Seoul	CacheMisses	628
6	Nagoya	CacheHits	0
6	Nagoya	CacheMisses	464
6	Osaka	CacheHits	0
6	Osaka	CacheMisses	268
6	Tokyo	CacheHits	0
6	Tokyo	CacheMisses	401
6	Chennai	CacheHits	0
6	Chennai	CacheMisses	227
6	Bangkok	CacheHits	0
6	Bangkok	CacheMisses	359
6	KL	CacheHits	0
6	KL	CacheMisses	137
6	Singapore	CacheHits	7
6	Singapore	CacheMisses	1993
6	Jakarta	CacheHits	0
6	Jakarta	CacheMisses	0
6	Manila	CacheHits	0
6	Manila	CacheMisses	223
6	Sydney	CacheHits	16
6	Sydney	CacheMisses	504
6	Brisbane	CacheHits	0
6	Brisbane	CacheMisses	366
6	Adelaide	CacheHits	0
6	Adelaide	CacheMisses	1000
6	Melbourne	CacheHits	0
6	Melbourne	CacheMisses	666
6	Perth	CacheHits	0
6	Perth	CacheMisses	652
6	Auckland	CacheHits	0
6	Auckland	CacheMisses	738
6	SantaClara	CacheHits	0
6	SantaClara	CacheMisses	0
6	LA	CacheHits	0
6	LA	CacheMisses	3555
6	Tribeca	CacheHits	0
6	Tribeca	CacheMisses	1000
6	SanJose	CacheHits	0
6	SanJose	CacheMisses	0
6	Ashburn	CacheHits	0
6	Ashburn	CacheMisses	142
6	NewYork	CacheHits	0
6	NewYork	CacheMisses	0
7	London	CacheHits	0
7	London	CacheMisses	1000
7	China	CacheHits	0
7	China	CacheMisses	0
7	Taipei	CacheHits	0
7	Taipei	CacheMisses	0
7	HongKong	CacheHits	0
7	HongKong	CacheMisses	0
7	Seoul	CacheHits	0
7	Seoul	CacheMisses	400
7	Nagoya	CacheHits	0
7	Nagoya	CacheMisses	661
7	Osaka	CacheHits	0
7	Osaka	CacheMisses	343
7	Tokyo	CacheHits	0
7	Tokyo	CacheMisses	236
7	Chennai	CacheHits	0
7	Chennai	CacheMisses	0
7	Bangkok	CacheHits	0
7	Bangkok	CacheMisses	422
7	KL	CacheHits	0
7	KL	CacheMisses	142
7	Singapore	CacheHits	0
7	Singapore	CacheMisses	1987
7	Jakarta	CacheHits	0
7	Jakarta	CacheMisses	0
7	Manila	CacheHits	0
7	Manila	CacheMisses	565
7	Sydney	CacheHits	2
7	Sydney	CacheMisses	125
7	Brisbane	CacheHits	0
7	Brisbane	CacheMisses	305
7	Adelaide	CacheHits	0
7	Adelaide	CacheMisses	1000
7	Melbourne	CacheHits	0
7	Melbourne	CacheMisses	199
7	Perth	CacheHits	0
7	Perth	CacheMisses	320
7	Auckland	CacheHits	0
7	Auckland	CacheMisses	319
7	SantaClara	CacheHits	0
7	SantaClara	CacheMisses	0
7	LA	CacheHits	0
7	LA	CacheMisses	3554
7	Tribeca	CacheHits	0
7	Tribeca	CacheMisses	1000
7	SanJose	CacheHits	0
7	SanJose	CacheMisses	0
7	Ashburn	CacheHits	0
7	Ashburn	CacheMisses	153
7	NewYork	CacheHits	0
7	NewYork	CacheMisses	0
8	London	CacheHits	0
8	London	CacheMisses	1000
8	China	CacheHits	0
8	China	CacheMisses	0
8	Taipei	CacheHits	0
8	Taipei	CacheMisses	0
8	HongKong	CacheHits	0
8	HongKong	CacheMisses	0
8	Seoul	CacheHits	0
8	Seoul	CacheMisses	534
8	Nagoya	CacheHits	0
8	Nagoya	CacheMisses	185
8	Osaka	CacheHits	3
8	Osaka	CacheMisses	265
8	Tokyo	CacheHits	6
8	Tokyo	CacheMisses	707
8	Chennai	CacheHits	0
8	Chennai	CacheMisses	236
8	Bangkok	CacheHits	0
8	Bangkok	CacheMisses	1000
8	KL	CacheHits	0
8	KL	CacheMisses	149
8	Singapore	CacheHits	0
8	Singapore	CacheMisses	1973
8	Jakarta	CacheHits	0
8	Jakarta	CacheMisses	0
8	Manila	CacheHits	0
8	Manila	CacheMisses	1339
8	Sydney	CacheHits	0
8	Sydney	CacheMisses	812
8	Brisbane	CacheHits	0
8	Brisbane	CacheMisses	642
8	Adelaide	CacheHits	0
8	Adelaide	CacheMisses	1000
8	Melbourne	CacheHits	0
8	Melbourne	CacheMisses	583
8	Perth	CacheHits	0
8	Perth	CacheMisses	393
8	Auckland	CacheHits	0
8	Auckland	CacheMisses	460
8	SantaClara	CacheHits	0
8	SantaClara	CacheMisses	0
8	LA	CacheHits	1
8	LA	CacheMisses	3550
8	Tribeca	CacheHits	0
8	Tribeca	CacheMisses	1000
8	SanJose	CacheHits	0
8	SanJose	CacheMisses	0
8	Ashburn	CacheHits	0
8	Ashburn	CacheMisses	160
8	NewYork	CacheHits	0
8	NewYork	CacheMisses	0
9	London	CacheHits	0
9	London	CacheMisses	1000
9	China	CacheHits	0
9	China	CacheMisses	0
9	Taipei	CacheHits	0
9	Taipei	CacheMisses	0
9	HongKong	CacheHits	0
9	HongKong	CacheMisses	0
9	Seoul	CacheHits	0
9	Seoul	CacheMisses	350
9	Nagoya	CacheHits	0
9	Nagoya	CacheMisses	1000
9	Osaka	CacheHits	2
9	Osaka	CacheMisses	752
9	Tokyo	CacheHits	6
9	Tokyo	CacheMisses	219
9	Chennai	CacheHits	0
9	Chennai	CacheMisses	45
9	Bangkok	CacheHits	0
9	Bangkok	CacheMisses	1000
9	KL	CacheHits	0
9	KL	CacheMisses	158
9	Singapore	CacheHits	0
9	Singapore	CacheMisses	2000
9	Jakarta	CacheHits	0
9	Jakarta	CacheMisses	0
9	Manila	CacheHits	0
9	Manila	CacheMisses	1004
9	Sydney	CacheHits	1
9	Sydney	CacheMisses	223
9	Brisbane	CacheHits	6
9	Brisbane	CacheMisses	221
9	Adelaide	CacheHits	0
9	Adelaide	CacheMisses	1000
9	Melbourne	CacheHits	0
9	Melbourne	CacheMisses	1000
9	Perth	CacheHits	0
9	Perth	CacheMisses	1000
9	Auckland	CacheHits	0
9	Auckland	CacheMisses	1000
9	SantaClara	CacheHits	0
9	SantaClara	CacheMisses	0
9	LA	CacheHits	0
9	LA	CacheMisses	3555
9	Tribeca	CacheHits	0
9	Tribeca	CacheMisses	1000
9	SanJose	CacheHits	0
9	SanJose	CacheMisses	0
9	Ashburn	CacheHits	0
9	Ashburn	CacheMisses	150
9	NewYork	CacheHits	0
9	NewYork	CacheMisses	0
10	London	CacheHits	0
10	London	CacheMisses	1000
10	China	CacheHits	0
10	China	CacheMisses	0
10	Taipei	CacheHits	0
10	Taipei	CacheMisses	0
10	HongKong	CacheHits	0
10	HongKong	CacheMisses	0
10	Seoul	CacheHits	0
10	Seoul	CacheMisses	355
10	Nagoya	CacheHits	0
10	Nagoya	CacheMisses	1000
10	Osaka	CacheHits	5
10	Osaka	CacheMisses	337
10	Tokyo	CacheHits	11
10	Tokyo	CacheMisses	242
10	Chennai	CacheHits	0
10	Chennai	CacheMisses	200
10	Bangkok	CacheHits	0
10	Bangkok	CacheMisses	1000
10	KL	CacheHits	0
10	KL	CacheMisses	160
10	Singapore	CacheHits	0
10	Singapore	CacheMisses	1978
10	Jakarta	CacheHits	0
10	Jakarta	CacheMisses	0
10	Manila	CacheHits	0
10	Manila	CacheMisses	1081
